TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
136915,Paraphiomys,pigotti,Lavosat 1973
145634,Parapithecus,grangeri,
139389,Pararyctes,pattersoni,(Van Valen)
138929,Parasaurolophus,,
143558,Parasemionotus,labordei,(Priem)
137081,Paratetonius,steini,Seton
137124,Paratylopus,grandis,White
139938,Parectypodus,,
138726,Parelephos,floridanus,Leidy
138805,Pareumys,guensburgi,
138804,Pareumys,lewisi,
137148,Pareumys,milleri,Peterson
144108,Parexus,,
137768,Parictis,bathygenus,
138706,Parictis,,
136293,Parioxys,ferricolus,Cope
138586,Parioxys,romeri,Moustafa
135702,Parioxys,,
138835,Paromomys,depressidens,"Gidley, 1923"
138542,Paromomys,maturus,
138944,Paronychodon,lacustris,
598431,Parotodus,benedeni,Le Hon 1871
136461,Parthochelys,laticeps,Williston
141714,Parvipes,minutus,"Willard & Cleaves, 1930"
138784,Paschatherium,dolloi,
138783,Paschatherium,peteri,
138081,Pataecus,parvus,
139960,Patene,coluapiensis,"Simpson, 1935"
139961,Patene,simpsoni,"Paula Conto, 1952"
145598,Patriocotus,ehrliehi,
145677,Patriofelis,ferox,
139775,Patriofelis,,
144630,Paurodon,valens,
136771,Pediohippus,,
138660,Pelion,,"W. F. Kirby, 1858"
138591,Peltosaurus,floridanus,
137364,Peltosaurus,granulosus,Cope
135786,Pelycosaur,,
142707,Pentacemylus,progressus,Peterson
138852,Pentacodon,inversus,
138851,Pentacodon,occultus,"Matthew, 1937"
138881,Pentacosmodon,pronus,
139976,Perathereutes,pungens,"Ameghino, 1891"
139953,Perazoyphium,brachygnathum,
138723,Perchoerus,minimus,
139950,Periconodon,helveticus,"(Rütimeyer, 1891)"
136086,Peridiomys,,
139167,Perimys,erutus,
139168,Perimys,,
139184,Periphragnis,,
526737,Peripristis,benniei,"(Etheridge, 1875)"
145182,Peripristis,semicircularis,(Newb. & Worthen)
141411,Perleidus,madagascariensis,
454361,Perptoceras,,
140768,Petalorhynchus,psittacinus,(McCoy)
140767,Petalorhynchus,,
136056,Petrobates,,"Heuglin, 1860"
141537,Petrodus,occidentalis,
141067,Petrodus,,
139925,Petrolemur,brevirostre,
330405,Phanerosteon,mirabile,
138110,Phanourios,minor,
147086,Pharmacichthyes,,
141923,Pharyngadopilus,carolinensis,
141541,Pharyngolepis,oblongus,Kiaer
137622,Phascolonus,gigas,Owen
137621,Phascolonus,,
145496,Phenacoadaptes,sabulosus,
140020,Phenacoadaptes,,
143244,Phenacodaptes,subulosus,
147261,Phenocodus,,
139231,Phiomys,andrewsi,
138810,Phiomys,paraphiomyoides,
521269,Phlegethontiidae,,
141598,Phlyctaenius,acadicus,Whiteaves
139662,Phoberocyon,johnhenryi,
